FUNCTION                                    CALLS      %   TIME  [uS / CALLS]
--------                                    -----    ---   ----  [----------]
gen_server:rec_nodes/7                         20   0.02     46  [      2.30]
erts_internal:port_control/3                    4   0.02     48  [     12.00]
gen_server:start_monitor/2                     10   0.02     49  [      4.90]
erlang:demonitor/2                             23   0.02     65  [      2.83]
crypto:rand_bytes/1                             2   0.03     67  [     33.50]
ets:lookup/2                                   25   0.03     80  [      3.20]
tuple_space:lock/1                              6   0.03     90  [     15.00]
erlang:monitor/2                               24   0.04     94  [      3.92]
user_drv:put_int16/2                            2   0.05    135  [     67.50]
erlang:cancel_timer/1                          10   0.06    157  [     15.70]
io_lib:printable_latin1_list/1               1129   0.07    193  [      0.17]
unicode:characters_to_binary/2                 68   0.24    645  [      9.49]
tuple_space:'-mapper/1-fun-14-'/2               1   0.29    763  [    763.00]
gen_server:loop/6                              16   3.85  10260  [    641.25]
tuple_space:'-mapper/1-fun-13-'/1             212   5.49  14654  [     69.12]
tuple_space:find_one/4                          5   6.50  17330  [   3466.00]
erlang:send/3                                   3   8.25  22006  [   7335.33]
erlang:spawn/3                                  1   9.59  25588  [  25588.00]
ets:insert/2                                   17  10.33  27551  [   1620.65]
erlang:get/0                                    2  10.68  28502  [  14251.00]
shell:exprs/6                                   2  16.85  44970  [  22485.00]
ets:select/3                                    5  26.66  71140  [  14228.00]
